"Image","Label1","Label2","Label3","Llama 8B","Llama 36B","Vicuna 8B"
"2023:06","Label1_value2","Label2_value2","Label3_value1","94.6795","95.8875","90.5598"
"2023:02","Label1_value3","Label2_value2","Label3_value3","95.0812","95.9117","90.6681"
"2023:06","Label1_value3","Label2_value2","Label3_value3","95.3675","95.8917","90.4929"
"2023:08","Label1_value3","Label2_value1","Label3_value4","94.9444","95.9359","90.4658"
"2023:02","Label1_value1","Label2_value2","Label3_value4","95.1553","95.9274","90.6382"
"2023:02","Label1_value2","Label2_value2","Label3_value1","95.1467","95.8390","90.5755"
"2023:06","Label1_value1","Label2_value2","Label3_value3","93.7821","95.8903","90.5242"
"2024:02","Label1_value2","Label2_value1","Label3_value3","95.4487","95.9160","90.5085"
"2023:08","Label1_value3","Label2_value2","Label3_value1","95.2635","95.8960","90.6781"
"2023:06","Label1_value3","Label2_value1","Label3_value1","95.1581","95.9330","90.7165"
"2023:08","Label1_value1","Label2_value2","Label3_value1","94.9744","95.9687","90.7222"
"2023:08","Label1_value2","Label2_value1","Label3_value1","95.2479","95.9544","90.7692"
"2023:02","Label1_value2","Label2_value2","Label3_value4","95.0499","95.9160","90.5171"
"2023:08","Label1_value1","Label2_value1","Label3_value2","95.3348","95.8476","90.6382"
"2023:06","Label1_value2","Label2_value1","Label3_value3","95.4744","95.9843","90.6738"
"2023:02","Label1_value1","Label2_value1","Label3_value1","95.2108","95.9516","90.6980"
"2023:08","Label1_value3","Label2_value2","Label3_value3","95.3974","96.0171","90.6724"
"2023:06","Label1_value2","Label2_value1","Label3_value4","95.1738","95.9715","90.7322"
"2024:02","Label1_value1","Label2_value1","Label3_value4","95.1254","95.9943","90.7521"
"2023:06","Label1_value3","Label2_value1","Label3_value2","95.3732","95.9544","90.6809"
"2024:02","Label1_value3","Label2_value1","Label3_value1","94.9972","95.9046","90.6638"
"2023:08","Label1_value1","Label2_value1","Label3_value2","95.4573","96.0470","90.7749"
"2024:02","Label1_value3","Label2_value1","Label3_value2","94.7991","95.9843","90.8362"
"2023:08","Label1_value3","Label2_value1","Label3_value1","94.8917","96.0071","90.7892"
"2023:06","Label1_value1","Label2_value1","Label3_value2","95.3490","96.0214","90.7393"
"2023:02","Label1_value3","Label2_value1","Label3_value2","94.9701","96.0171","90.6097"
"2023:02","Label1_value1","Label2_value2","Label3_value3","95.4872","95.9929","90.8219"
"2023:08","Label1_value3","Label2_value2","Label3_value2","95.1909","96.0043","90.7521"
"2023:02","Label1_value2","Label2_value2","Label3_value2","95.5513","96.0271","90.7179"
"2024:02","Label1_value2","Label2_value2","Label3_value2","94.8803","95.9943","90.7635"
"2023:06","Label1_value3","Label2_value1","Label3_value1","95.3191","96.0214","90.7322"
"2023:06","Label1_value3","Label2_value2","Label3_value3","95.5171","95.9587","90.9815"
"2023:08","Label1_value2","Label2_value2","Label3_value3","95.4801","96.0627","90.8020"
"2024:02","Label1_value1","Label2_value2","Label3_value4","95.3262","96.0513","90.7536"
"2023:08","Label1_value2","Label2_value1","Label3_value1","95.4858","96.0342","90.7479"
"2024:02","Label1_value3","Label2_value1","Label3_value2","95.5712","96.0342","90.8860"
"2023:06","Label1_value3","Label2_value2","Label3_value2","95.5427","96.0299","90.6738"
"2024:02","Label1_value3","Label2_value1","Label3_value2","95.1125","96.0598","90.7123"
"2023:08","Label1_value1","Label2_value1","Label3_value3","95.6054","96.0356","90.8177"
"2023:08","Label1_value2","Label2_value2","Label3_value1","95.5128","95.9715","90.7137"
"2024:02","Label1_value2","Label2_value1","Label3_value2","95.1296","96.0670","90.8519"
"2024:02","Label1_value2","Label2_value2","Label3_value1","95.2664","96.0499","90.8006"
"2023:06","Label1_value3","Label2_value2","Label3_value1","95.1952","96.0328","90.7934"
"2024:02","Label1_value3","Label2_value1","Label3_value3","95.5413","96.0969","90.9245"
"2023:06","Label1_value2","Label2_value1","Label3_value1","95.6239","96.0499","90.7721"
"2023:08","Label1_value2","Label2_value2","Label3_value1","95.2892","96.0954","90.8405"
"2023:02","Label1_value1","Label2_value2","Label3_value2","95.3732","96.0043","90.8333"
"2023:02","Label1_value2","Label2_value2","Label3_value1","95.2963","96.0513","90.8561"
"2024:02","Label1_value3","Label2_value2","Label3_value4","95.6638","96.0855","90.8561"
"2023:02","Label1_value3","Label2_value1","Label3_value1","94.8077","96.0028","90.8875"
"2024:02","Label1_value1","Label2_value2","Label3_value3","95.3219","96.1239","90.8362"
"2023:02","Label1_value1","Label2_value1","Label3_value4","95.6766","96.1097","90.8319"
"2023:02","Label1_value2","Label2_value1","Label3_value1","95.5883","96.1140","90.8447"
"2023:02","Label1_value1","Label2_value1","Label3_value1","95.6937","96.0442","90.8276"
"2023:02","Label1_value2","Label2_value2","Label3_value1","95.7507","96.0413","90.9316"
"2023:08","Label1_value2","Label2_value1","Label3_value1","95.6140","96.0926","90.8162"
"2023:02","Label1_value3","Label2_value2","Label3_value1","95.4473","96.0897","90.8661"
"2024:02","Label1_value1","Label2_value2","Label3_value3","95.7236","96.1154","90.9758"
"2023:08","Label1_value1","Label2_value1","Label3_value1","95.4088","96.0641","90.7422"
"2023:02","Label1_value1","Label2_value2","Label3_value4","95.5926","96.1396","90.8561"
"2024:02","Label1_value2","Label2_value1","Label3_value3","95.7906","96.1211","90.7493"
"2023:02","Label1_value1","Label2_value2","Label3_value1","95.7621","96.0897","90.9359"
"2023:02","Label1_value2","Label2_value1","Label3_value2","95.7692","96.1610","90.8647"
"2023:08","Label1_value2","Label2_value2","Label3_value2","95.6681","96.1368","90.8974"
"2023:02","Label1_value1","Label2_value1","Label3_value2","95.7365","96.0741","90.8120"
"2023:02","Label1_value2","Label2_value2","Label3_value2","95.7293","96.1097","90.8561"
"2024:02","Label1_value1","Label2_value2","Label3_value4","95.7279","96.1496","90.8134"
"2023:08","Label1_value1","Label2_value1","Label3_value1","95.5698","96.0442","90.7593"
"2023:02","Label1_value3","Label2_value1","Label3_value2","95.7934","96.1054","90.8248"
"2023:06","Label1_value3","Label2_value2","Label3_value4","95.8419","96.0598","90.7365"
"2023:02","Label1_value3","Label2_value1","Label3_value3","95.5983","96.1339","90.8490"
"2023:08","Label1_value3","Label2_value2","Label3_value2","95.4843","96.1425","90.8846"
"2023:08","Label1_value3","Label2_value2","Label3_value3","95.7009","96.1538","90.8818"
"2023:02","Label1_value3","Label2_value2","Label3_value4","95.7849","96.1695","90.8504"
"2024:02","Label1_value3","Label2_value1","Label3_value4","95.6738","96.1311","90.7678"
"2023:08","Label1_value1","Label2_value1","Label3_value3","95.8020","96.1781","91.0726"
"2023:06","Label1_value3","Label2_value2","Label3_value4","95.7607","96.1254","90.7764"
"2024:02","Label1_value1","Label2_value2","Label3_value1","95.8490","96.1595","91.0014"
"2024:02","Label1_value3","Label2_value2","Label3_value2","95.4387","96.0541","90.9772"
"2023:02","Label1_value2","Label2_value1","Label3_value4","95.7023","96.0242","91.0085"
"2023:02","Label1_value2","Label2_value2","Label3_value3","95.5755","96.2023","91.0057"
"2024:02","Label1_value1","Label2_value1","Label3_value4","95.7308","96.1724","91.0100"
"2023:02","Label1_value2","Label2_value2","Label3_value1","95.6980","96.0741","90.9444"
"2023:06","Label1_value1","Label2_value2","Label3_value3","95.8575","96.1895","90.9986"
"2023:06","Label1_value3","Label2_value2","Label3_value2","95.8376","96.1268","90.8120"
"2023:08","Label1_value1","Label2_value2","Label3_value1","95.8818","96.1396","90.9573"
"2023:06","Label1_value1","Label2_value1","Label3_value1","95.4729","96.2051","90.9302"
"2023:06","Label1_value1","Label2_value2","Label3_value1","95.9117","96.2094","90.8091"
"2023:08","Label1_value2","Label2_value2","Label3_value4","95.8048","96.0969","91.0000"
"2023:06","Label1_value1","Label2_value2","Label3_value1","95.7350","96.1396","90.9217"
"2024:02","Label1_value2","Label2_value2","Label3_value3","95.8718","96.1638","90.7892"
"2024:02","Label1_value3","Label2_value2","Label3_value4","95.7407","96.1781","91.1296"
"2023:02","Label1_value3","Label2_value2","Label3_value4","95.8034","96.1225","90.9444"
"2023:08","Label1_value2","Label2_value1","Label3_value2","95.8006","96.1738","91.0057"
"2024:02","Label1_value1","Label2_value1","Label3_value3","95.8789","96.2194","90.9316"
"2023:02","Label1_value2","Label2_value1","Label3_value4","95.7179","96.2009","90.9473"
"2023:02","Label1_value1","Label2_value2","Label3_value1","95.8048","96.2479","91.1510"
"2023:08","Label1_value2","Label2_value2","Label3_value2","95.8604","96.1966","91.0171"
"2024:02","Label1_value3","Label2_value1","Label3_value3","95.8462","96.2151","90.9772"
"2023:08","Label1_value1","Label2_value1","Label3_value1","95.8960","96.1154","90.8718"
"2024:02","Label1_value3","Label2_value1","Label3_value1","95.8561","96.2322","91.0983"
"2023:02","Label1_value1","Label2_value1","Label3_value1","95.7009","96.2564","91.0157"
"2023:06","Label1_value2","Label2_value1","Label3_value4","95.6097","96.2236","91.0185"
"2023:08","Label1_value1","Label2_value2","Label3_value2","95.8447","96.2607","90.8846"
"2023:02","Label1_value1","Label2_value1","Label3_value4","95.8148","96.2593","90.9744"
"2023:02","Label1_value2","Label2_value2","Label3_value2","95.8276","96.1937","91.0100"
"2023:06","Label1_value3","Label2_value1","Label3_value2","95.8675","96.2066","90.9630"
"2023:08","Label1_value2","Label2_value2","Label3_value1","95.7464","96.1980","90.9615"
"2023:08","Label1_value2","Label2_value1","Label3_value3","95.7151","96.1154","91.0684"
"2023:06","Label1_value2","Label2_value2","Label3_value2","95.9330","96.2265","90.9345"
"2024:02","Label1_value2","Label2_value2","Label3_value4","95.4516","96.2108","91.1781"
"2023:08","Label1_value1","Label2_value2","Label3_value3","95.8647","96.2279","90.9915"
"2023:08","Label1_value2","Label2_value1","Label3_value4","95.8091","96.2664","91.0356"
"2023:08","Label1_value3","Label2_value1","Label3_value1","95.8718","96.2806","91.0613"
"2024:02","Label1_value3","Label2_value1","Label3_value2","95.8561","96.2393","91.0214"
"2024:02","Label1_value1","Label2_value2","Label3_value4","95.9274","96.3504","91.1311"
"2024:02","Label1_value2","Label2_value2","Label3_value4","95.9929","96.2607","91.0627"
"2023:08","Label1_value3","Label2_value1","Label3_value1","95.7635","96.2336","91.1168"
"2023:02","Label1_value2","Label2_value2","Label3_value1","95.7165","96.3305","91.1724"
"2023:02","Label1_value3","Label2_value1","Label3_value4","95.6738","96.2607","91.1866"
"2023:02","Label1_value3","Label2_value1","Label3_value2","95.9530","96.2849","91.0712"
"2024:02","Label1_value1","Label2_value2","Label3_value3","95.8561","96.2792","90.9530"
"2023:06","Label1_value2","Label2_value1","Label3_value4","95.7977","96.2593","91.1610"
"2023:06","Label1_value2","Label2_value2","Label3_value4","95.8191","96.3661","91.0028"
"2024:02","Label1_value2","Label2_value1","Label3_value4","95.9459","96.2863","90.9174"
"2024:02","Label1_value1","Label2_value2","Label3_value1","95.9430","96.3205","91.0513"
"2024:02","Label1_value3","Label2_value2","Label3_value2","95.5142","96.3604","90.9986"
"2023:06","Label1_value3","Label2_value2","Label3_value1","95.9801","96.2963","91.0869"
"2023:06","Label1_value1","Label2_value1","Label3_value2","95.9031","96.3903","91.0100"
"2023:06","Label1_value1","Label2_value2","Label3_value1","95.9131","96.2991","91.0613"
"2023:02","Label1_value3","Label2_value1","Label3_value4","95.8875","96.3234","91.0684"
"2023:02","Label1_value2","Label2_value1","Label3_value3","95.9031","96.3789","91.1595"
"2023:06","Label1_value3","Label2_value2","Label3_value2","95.8689","96.2806","91.0043"
"2023:08","Label1_value1","Label2_value1","Label3_value3","95.9601","96.3348","91.1026"
"2023:02","Label1_value3","Label2_value2","Label3_value4","95.9957","96.3818","91.0043"
"2023:06","Label1_value1","Label2_value1","Label3_value3","95.9430","96.3191","91.0826"
"2023:08","Label1_value3","Label2_value2","Label3_value2","95.5413","96.3689","91.0598"
"2023:06","Label1_value2","Label2_value2","Label3_value2","95.8818","96.3405","91.1339"
"2023:02","Label1_value3","Label2_value2","Label3_value3","96.0057","96.3761","91.0114"
"2023:02","Label1_value2","Label2_value1","Label3_value1","96.0242","96.3803","91.1866"
"2023:06","Label1_value2","Label2_value1","Label3_value2","96.0484","96.4117","91.0726"
"2024:02","Label1_value2","Label2_value2","Label3_value2","95.7279","96.4031","91.1068"
"2023:06","Label1_value2","Label2_value2","Label3_value4","95.9758","96.4587","91.0840"
"2023:02","Label1_value3","Label2_value2","Label3_value2","95.9872","96.4245","91.1724"
"2023:08","Label1_value3","Label2_value2","Label3_value1","95.8632","96.4145","91.1795"
"2024:02","Label1_value3","Label2_value2","Label3_value1","95.9872","96.3846","90.9815"
"2023:08","Label1_value3","Label2_value2","Label3_value1","96.0570","96.3974","91.0897"
"2024:02","Label1_value1","Label2_value1","Label3_value1","95.9929","96.3946","91.1524"
"2024:02","Label1_value1","Label2_value2","Label3_value1","96.0100","96.5242","91.0912"
"2024:02","Label1_value1","Label2_value1","Label3_value1","96.0499","96.4274","91.0171"
"2023:08","Label1_value1","Label2_value2","Label3_value3","95.7792","96.4715","91.1524"
"2023:06","Label1_value1","Label2_value1","Label3_value2","95.7436","96.6353","91.1211"
"2023:08","Label1_value3","Label2_value2","Label3_value2","95.9231","96.6553","91.1738"
"2024:02","Label1_value3","Label2_value2","Label3_value2","95.7009","96.6510","91.1610"
"2024:02","Label1_value3","Label2_value2","Label3_value1","96.0199","96.7137","91.1111"
"2023:08","Label1_value2","Label2_value1","Label3_value1","95.9915","96.4758","91.0940"
"2023:02","Label1_value1","Label2_value2","Label3_value1","95.9359","96.6268","91.1083"
"2023:08","Label1_value2","Label2_value1","Label3_value2","95.8177","96.6538","91.0157"
"2024:02","Label1_value1","Label2_value2","Label3_value1","95.6538","96.6268","91.0427"
"2024:02","Label1_value3","Label2_value2","Label3_value2","96.0199","96.5370","91.0413"
"2023:08","Label1_value2","Label2_value2","Label3_value2","95.9288","96.6553","91.1054"
"2023:02","Label1_value1","Label2_value2","Label3_value4","95.9957","96.6724","91.0755"
"2023:02","Label1_value1","Label2_value2","Label3_value4","95.7707","96.7450","91.0313"
"2023:06","Label1_value2","Label2_value2","Label3_value4","95.8846","96.5897","91.1410"
"2023:06","Label1_value2","Label2_value2","Label3_value3","95.9516","96.6325","91.1140"
"2023:06","Label1_value2","Label2_value2","Label3_value4","95.7877","96.7379","91.2422"
"2023:02","Label1_value1","Label2_value1","Label3_value2","95.8262","96.4145","91.2493"
"2024:02","Label1_value1","Label2_value2","Label3_value3","95.7892","96.7578","91.0798"
"2023:06","Label1_value2","Label2_value1","Label3_value3","95.9957","96.6994","91.0726"
"2023:08","Label1_value3","Label2_value1","Label3_value3","96.0028","96.6610","91.2721"
"2023:02","Label1_value3","Label2_value2","Label3_value3","95.6980","96.6311","91.0228"
"2023:06","Label1_value2","Label2_value1","Label3_value1","95.9929","96.7222","90.9900"
"2023:06","Label1_value3","Label2_value2","Label3_value1","95.5128","96.6140","91.0783"
"2023:02","Label1_value2","Label2_value2","Label3_value1","95.5456","96.6083","91.1652"
"2024:02","Label1_value2","Label2_value2","Label3_value2","96.0342","96.7479","91.0997"
"2024:02","Label1_value1","Label2_value1","Label3_value4","95.7094","96.7991","91.1823"
"2023:08","Label1_value2","Label2_value1","Label3_value4","95.9587","96.7051","91.0755"
"2023:02","Label1_value1","Label2_value1","Label3_value4","95.9530","96.7094","91.1496"
"2024:02","Label1_value1","Label2_value2","Label3_value2","96.0670","96.6823","91.1681"
"2024:02","Label1_value1","Label2_value1","Label3_value4","95.7749","96.6781","91.1382"
"2023:02","Label1_value1","Label2_value2","Label3_value4","96.0812","96.6809","91.1125"
"2023:02","Label1_value2","Label2_value2","Label3_value2","95.8305","96.7393","91.2621"
"2023:08","Label1_value2","Label2_value2","Label3_value2","96.0028","96.7892","91.0926"
"2023:02","Label1_value3","Label2_value2","Label3_value4","96.0427","96.7137","91.2379"
"2023:02","Label1_value3","Label2_value1","Label3_value4","95.9444","96.8091","91.1781"
"2023:06","Label1_value3","Label2_value2","Label3_value1","95.9744","96.7892","91.1410"
"2024:02","Label1_value1","Label2_value1","Label3_value2","95.9444","96.8305","91.0712"
"2023:08","Label1_value3","Label2_value1","Label3_value1","96.0940","96.7934","91.2051"
"2023:08","Label1_value1","Label2_value1","Label3_value4","96.0556","96.7194","91.0783"
"2024:02","Label1_value2","Label2_value2","Label3_value3","95.9858","96.8476","91.1538"
"2023:08","Label1_value3","Label2_value1","Label3_value1","95.9217","96.8134","91.3390"
"2023:02","Label1_value1","Label2_value1","Label3_value4","96.0712","96.8889","91.1353"
"2023:06","Label1_value2","Label2_value1","Label3_value1","96.0670","96.8177","91.0826"
"2023:02","Label1_value1","Label2_value2","Label3_value1","96.0399","96.7607","91.3348"
"2023:06","Label1_value2","Label2_value1","Label3_value3","95.7080","96.7877","91.2422"
"2023:06","Label1_value3","Label2_value2","Label3_value1","95.7094","96.8476","91.1752"
"2023:08","Label1_value3","Label2_value1","Label3_value3","96.1040","96.8547","91.1980"
"2023:08","Label1_value1","Label2_value2","Label3_value4","96.1026","96.7806","91.0826"
"2023:02","Label1_value3","Label2_value1","Label3_value4","95.9060","96.7464","91.0085"
"2023:08","Label1_value1","Label2_value2","Label3_value3","95.8960","96.8533","91.2707"
"2023:06","Label1_value1","Label2_value1","Label3_value3","96.0442","96.8689","91.2464"
"2024:02","Label1_value3","Label2_value2","Label3_value3","95.9957","96.7949","91.3433"
"2024:02","Label1_value2","Label2_value1","Label3_value4","95.9687","96.9430","91.1524"
"2024:02","Label1_value2","Label2_value1","Label3_value2","96.0370","96.8533","91.2593"
"2024:02","Label1_value3","Label2_value1","Label3_value1","95.7350","96.9046","91.2436"
"2023:06","Label1_value3","Label2_value1","Label3_value1","96.1282","96.8618","91.2279"
"2023:06","Label1_value2","Label2_value1","Label3_value1","96.0228","96.8732","91.1581"
"2023:08","Label1_value2","Label2_value2","Label3_value4","96.1068","96.8561","91.2664"
"2024:02","Label1_value1","Label2_value2","Label3_value2","96.1011","96.8262","91.2593"
"2023:08","Label1_value3","Label2_value1","Label3_value1","96.1168","96.8319","91.2806"
"2024:02","Label1_value1","Label2_value1","Label3_value4","96.1182","96.8533","91.2835"
"2024:02","Label1_value2","Label2_value2","Label3_value1","95.7123","96.8689","91.2151"
"2023:06","Label1_value1","Label2_value2","Label3_value2","96.0299","96.8376","91.1538"
"2024:02","Label1_value1","Label2_value1","Label3_value3","95.8376","96.8832","91.1695"
"2023:02","Label1_value3","Label2_value1","Label3_value1","96.1467","96.8519","91.2749"
"2023:02","Label1_value3","Label2_value2","Label3_value3","96.0313","96.7564","91.3291"
"2024:02","Label1_value3","Label2_value2","Label3_value4","96.1225","96.9174","91.4501"
"2023:08","Label1_value1","Label2_value2","Label3_value3","96.0413","96.9031","91.2123"
"2023:08","Label1_value1","Label2_value2","Label3_value2","96.0313","96.8889","91.2735"
"2023:02","Label1_value2","Label2_value2","Label3_value3","96.0328","96.7607","91.1595"
"2024:02","Label1_value3","Label2_value1","Label3_value2","96.0256","96.8575","91.2635"
"2023:06","Label1_value1","Label2_value2","Label3_value4","96.0897","96.9359","91.2265"
"2023:06","Label1_value1","Label2_value2","Label3_value2","95.9516","96.8462","91.2792"
"2023:08","Label1_value2","Label2_value2","Label3_value2","96.1011","96.9444","91.2849"
"2023:06","Label1_value2","Label2_value1","Label3_value3","96.1225","96.8561","91.1567"
"2023:08","Label1_value3","Label2_value1","Label3_value2","95.9074","96.7863","91.1823"
"2023:06","Label1_value3","Label2_value1","Label3_value3","96.0256","96.9217","91.2863"
"2023:08","Label1_value1","Label2_value2","Label3_value2","96.1040","96.9288","91.2265"
"2024:02","Label1_value1","Label2_value2","Label3_value2","95.9801","96.8903","91.3276"
"2023:06","Label1_value1","Label2_value2","Label3_value2","96.0185","96.9302","91.2749"
"2023:06","Label1_value2","Label2_value2","Label3_value4","96.0598","96.8034","91.3148"
"2024:02","Label1_value3","Label2_value2","Label3_value4","95.9786","96.9330","91.2835"
"2023:02","Label1_value2","Label2_value2","Label3_value4","96.0926","96.8704","91.2607"
"2023:06","Label1_value2","Label2_value2","Label3_value3","95.9501","96.8775","91.2877"
"2023:08","Label1_value2","Label2_value2","Label3_value1","95.9615","96.9202","91.3134"
"2023:02","Label1_value3","Label2_value1","Label3_value4","96.0855","96.9160","91.2821"
"2024:02","Label1_value3","Label2_value2","Label3_value2","96.0356","96.8333","91.2578"
"2023:06","Label1_value1","Label2_value1","Label3_value1","96.1154","96.9516","91.3832"
"2023:02","Label1_value3","Label2_value1","Label3_value4","96.1581","96.9231","91.2949"
"2023:06","Label1_value2","Label2_value1","Label3_value1","95.9658","96.9459","91.2892"
"2023:08","Label1_value1","Label2_value1","Label3_value1","96.0684","96.9245","91.3120"
"2023:08","Label1_value3","Label2_value1","Label3_value3","96.0883","96.9573","91.0940"
"2023:02","Label1_value1","Label2_value1","Label3_value2","96.0342","96.9430","91.3134"
"2023:02","Label1_value3","Label2_value2","Label3_value3","96.0783","96.9615","91.3063"
"2023:06","Label1_value1","Label2_value1","Label3_value3","96.0912","96.9060","91.2778"
"2024:02","Label1_value3","Label2_value1","Label3_value2","96.0328","96.9516","91.3091"
"2023:08","Label1_value3","Label2_value1","Label3_value4","96.0470","96.9444","91.3519"
"2023:08","Label1_value1","Label2_value1","Label3_value2","96.1268","96.9530","91.1980"
"2024:02","Label1_value2","Label2_value1","Label3_value4","96.1268","96.9915","91.1852"
"2023:08","Label1_value1","Label2_value1","Label3_value2","96.1553","96.9615","91.1311"
"2023:02","Label1_value3","Label2_value2","Label3_value4","96.1781","96.9302","91.2607"
"2024:02","Label1_value3","Label2_value1","Label3_value1","96.1553","96.9530","91.3305"
"2024:02","Label1_value3","Label2_value1","Label3_value3","96.1439","96.9886","91.2450"
"2023:06","Label1_value1","Label2_value1","Label3_value4","95.9373","96.9915","91.3063"
"2023:06","Label1_value1","Label2_value2","Label3_value4","95.7764","96.9986","91.2350"
"2023:08","Label1_value2","Label2_value2","Label3_value1","96.0499","97.0000","91.3219"
"2023:02","Label1_value2","Label2_value1","Label3_value1","96.0570","96.9630","91.3063"
"2023:06","Label1_value2","Label2_value1","Label3_value4","96.1011","96.9231","91.3006"
"2024:02","Label1_value3","Label2_value2","Label3_value2","95.8305","96.9558","91.2934"
"2024:02","Label1_value1","Label2_value1","Label3_value2","96.1382","97.0256","91.3390"
"2023:06","Label1_value3","Label2_value2","Label3_value4","96.1553","96.9872","91.4031"
"2023:06","Label1_value1","Label2_value1","Label3_value3","96.1709","96.9330","91.2479"
"2023:08","Label1_value1","Label2_value2","Label3_value1","96.0798","96.9900","91.4031"
"2023:08","Label1_value3","Label2_value1","Label3_value3","96.0342","96.9915","91.3390"
"2024:02","Label1_value3","Label2_value1","Label3_value3","95.9772","97.0171","91.2934"
"2024:02","Label1_value2","Label2_value1","Label3_value2","96.0997","96.8519","91.2464"
"2023:02","Label1_value2","Label2_value2","Label3_value3","96.0883","96.9701","91.2521"
"2023:02","Label1_value3","Label2_value2","Label3_value4","96.1083","96.8447","91.4017"
"2023:06","Label1_value2","Label2_value2","Label3_value4","95.9929","96.9131","91.4701"
"2024:02","Label1_value1","Label2_value2","Label3_value3","96.0228","96.9544","91.3034"
"2023:02","Label1_value2","Label2_value1","Label3_value4","95.8519","96.9843","91.3205"
"2024:02","Label1_value3","Label2_value1","Label3_value2","95.9601","97.0228","91.2934"
"2023:08","Label1_value1","Label2_value2","Label3_value3","96.1410","96.9929","91.1709"
"2024:02","Label1_value2","Label2_value2","Label3_value3","96.1211","96.9900","91.3661"
"2023:06","Label1_value1","Label2_value2","Label3_value1","96.0570","97.0014","91.3362"
"2023:06","Label1_value2","Label2_value1","Label3_value3","96.0427","96.9672","91.2707"
"2023:06","Label1_value1","Label2_value2","Label3_value3","96.1652","96.9843","91.4387"
"2023:02","Label1_value3","Label2_value1","Label3_value3","96.1752","97.0157","91.2308"
"2023:08","Label1_value1","Label2_value1","Label3_value1","96.1524","96.8946","91.4202"
"2023:02","Label1_value2","Label2_value2","Label3_value4","96.1581","96.9815","91.2821"
"2023:08","Label1_value3","Label2_value2","Label3_value3","96.1339","96.9915","91.2949"
"2023:08","Label1_value2","Label2_value2","Label3_value1","96.0613","96.9658","91.2963"
